team,jersey_number,name,position,height,class_year,photo_url,source
UW-Whitewater Warhawks,23,MAURQUIS TURNER,G,6-3,JR,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMTM1IiBoZWlnaHQ9IjQ0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPjxwYXRoIGQ9Ik0yNS40OCAyNS44NzFsLTEuNi0yLjc1MyAyLjQ1OC00LjI4NmgtNC45NDlsLTEuNTg1LTIuNzI4aDExLjMwOGwtNS42MjYgOS43NTggMi4xOCAzLjc0NS00LjE2NiA3LjE3N0w3LjMwOCA4Ljg4OGgzMi4zODRsLTQuMTg4IDcuMjE2aC00LjM5MWwxLjk3OS0zLjQzMkgxMy45MDhMMjMuNSAyOS4zMDRsMS45OC0zLjQzM3ptNTMuMTYtNy4zMjdsLS44OTguNTg4YTIuNDMgMi40MyAwIDAwLS41OTMtLjc1NWMtLjE5OC0uMTUtLjU2My0uMzQ3LTEuMTQxLS4zNDctMS4wMDUgMC0xLjcwNC42Mi0xLjcwNCAxLjU1NSAwIC4zOTMuMTA2LjYyLjM4Ljg3Ni4zMDQuMzAyLjY4NS40NjggMS4wNjUuNjM1bC45NzQuNDIyYy41OTMuMjU3IDEuMTQuNTI5IDEuNTY3Ljk1Mi41MTcuNTEzLjczIDEuMTAyLjczIDEuODI3IDAgMS44NTctMS4zODQgMy4wOTYtMy4yMSAzLjA5Ni0uNjcgMC0xLjUwNi0uMTM2LTIuMjA2LS44MTYtLjUwMi0uNDgzLS44MDctMS4xNzgtLjk0NC0xLjc4MmwxLjA5Ni0uMzAyYy4wNzYuNTI5LjMyLjk4Mi42MDggMS4yODQuNDQyLjQzOC45NDQuNTU5IDEuNDYxLjU1OSAxLjM4NSAwIDIuMDM5LS45ODIgMi4wMzktMS45OTQgMC0uNDUzLS4xMzctLjg0NS0uNTAyLTEuMTc4LS4yOS0uMjcxLS42ODUtLjQ1My0xLjIxNy0uNjk0bC0uOTEzLS40MjNjLS4zOTYtLjE4MS0uODk4LS4zOTMtMS4zNTQtLjgzLS40NDItLjQyMy0uNy0uODkyLS43LTEuNjQ3IDAtMS41NTUgMS4yMDItMi41OTcgMi44NDUtMi41OTcuNjI0IDAgMS4xMjYuMTIgMS42MjguNDUzLjQxLjI3Mi43Ni42OC45ODkgMS4xMTh6bTkuOTMtLjU3NHYxLjM4OWE1LjAwMSA1LjAwMSAwIDAwLTEuMzIzLS45MzYgNC4zNSA0LjM1IDAgMDAtMS43NS0uMzkzYy0yLjM0MyAwLTQuMDc4IDEuODczLTQuMDc4IDQuMTk4IDAgMi43MzMgMi4yMzcgNC4xMDggNC4wOTMgNC4xMDguNjg1IDAgMS4zNTQtLjE5NyAxLjg4Ny0uNDY5YTQuNjE0IDQuNjE0IDAgMDAxLjE3MS0uODQ1djEuMzg5YTUuMzEyIDUuMzEyIDAgMDEtMy4wNTguOTgyYy0zLjAxMiAwLTUuMjQ5LTIuMjY2LTUuMjQ5LTUuMTggMC0zLjAwNSAyLjI2Ny01LjI0IDUuMzEtNS4yNC42MDkgMCAxLjc4LjA3NiAyLjk5Ny45OTd6bTYuMzQ2IDkuNDIzYy0yLjkzNyAwLTUuMjgtMi4yMi01LjI4LTUuMjEgMC0zLjAwNSAyLjM1OC01LjIxIDUuMjgtNS4yMSAyLjkyIDAgNS4yOCAyLjIwNSA1LjI4IDUuMjEgMCAyLjk5LTIuMzQ0IDUuMjEtNS4yOCA1LjIxem0wLTkuMzYzYTQuMTI0IDQuMTI0IDAgMDAtNC4xMjQgNC4xNTMgNC4xMjQgNC4xMjQgMCAwMDQuMTI0IDQuMTUzIDQuMTI0IDQuMTI0IDAgMDA0LjEyMy00LjE1MyA0LjEyNCA0LjEyNCAwIDAwLTQuMTIzLTQuMTUzem04LjM3My0uODl2Ni4xNzVjMCAuODQ2IDAgMS43NjcuODA2IDIuNDQ3LjQxMS4zNDcgMS4xMTEuNTc0IDEuNjc0LjU3NHMxLjI2My0uMjI3IDEuNjc0LS41NzRjLjgwNi0uNjguODA2LTEuNjAxLjgwNi0yLjQ0N1YxNy4xNGgxLjEyNnY2LjQ3OGMwIC44NDYtLjA5MSAxLjY2MS0uNjM5IDIuNDE2LS42MDkuODMxLTEuNjc0IDEuMzYtMi45NjcgMS4zNi0xLjI5MyAwLTIuMzU4LS41MjktMi45NjctMS4zNi0uNTQ4LS43NTUtLjYzOS0xLjU3LS42MzktMi40MTZWMTcuMTRoMS4xMjZ6bTEzLjU2MiAxLjA1NmgtMi40NjV2OS4wMTVoLTEuMTI2di05LjAxNWgtMi40NjVWMTcuMTRoNi4wNTZ2MS4wNTctLjAwMXptMi4yNDktMi4wMjZoLjI0MmMuMDc4IDAgLjE0My0uMDEuMTkyLS4wMzIuMDUtLjAyMS4wNzUtLjA3Mi4wNzUtLjE1M2EuMTMyLjEzMiAwIDAwLS4wMjYtLjA4Ni4xNzMuMTczIDAgMDAtLjA2Ni0uMDUuMzM3LjMzNyAwIDAwLS4wOTItLjAyMy43Ny43NyAwIDAwLS4wOTYtLjAwNmgtLjIyOHYuMzVoLS4wMDF6bS0uMjctLjU1N2guNTE1Yy4xNzIgMCAuMzA0LjAzLjM5Ni4wODkuMDkzLjA2LjEzOS4xNjEuMTM5LjMwNWEuNDEuNDEgMCAwMS0uMDI4LjE1OC4yOC4yOCAwIDAxLS4wNzYuMTA3LjM1LjM1IDAgMDEtLjExNC4wNjMuNTg1LjU4NSAwIDAxLS4xNC4wM2wuMzY1LjU4MmgtLjI4NGwtLjMzMy0uNTdoLS4xN3YuNTdoLS4yN3YtMS4zMzR6bS0uNTU4LjcwOGExLjAyMiAxLjAyMiAwIDAwLjI5Ny43MjhjLjA5MS4wOS4yLjE2LjMyMy4yMTEuMTI0LjA1LjI1OC4wNzYuNC4wNzYuMTQgMCAuMjcyLS4wMjUuMzk2LS4wNzZhLjk3OS45NzkgMCAwMC41NDItLjUzM2MuMDU0LS4xMjQuMDgyLS4yNi4wODItLjQwNmEuOTkuOTkgMCAwMC0uNjI0LS45MzMgMS4wNCAxLjA0IDAgMDAtLjM5Ni0uMDc2IDEuMDUgMS4wNSAwIDAwLS40LjA3Ni45OTMuOTkzIDAgMDAtLjU0LjUyOCAxLjAxIDEuMDEgMCAwMC0uMDguNDA1em0tLjI2Ni4wMDFjMC0uMTkzLjAzNS0uMzY5LjEwNi0uNTI2YTEuMjI4IDEuMjI4IDAgMDEuNjkzLS42NTdjLjE1NS0uMDYuMzE3LS4wOTEuNDg3LS4wOTFhMS4zMzIgMS4zMzIgMCAwMS44OTcuMzQ3Yy4xMTguMTEuMjEzLjI0NC4yODMuNDAxLjA3LjE1Ny4xMDYuMzMzLjEwNi41MjZhMS4yNDcgMS4yNDcgMCAwMS0uMzg4LjkzMyAxLjIzMSAxLjIzMSAwIDAxLS40MTEuMjU2Yy0uMTU1LjA2LS4zMTcuMDg5LS40ODcuMDg5LS4xNyAwLS4zMzItLjAzLS40ODctLjA4OWExLjIzMSAxLjIzMSAwIDAxLS43OTktMS4xODl6bS03Mi4xNTEuODAxdjIuMjI3aC0zLjE1MnYxLjY4MmgyLjg2NnYyLjIyN2gtMi44NjZ2My45N2gtMi42MVYxNy4xMjNoNS43NjJ6bTcuMTEgMTAuMTA2bC0uNjE5LTEuNjk3aC0zLjY1bC0uNjc5IDEuNjk3aC0yLjc2bDMuODYxLTEwLjEwNmgyLjg1MWwzLjc4NiAxMC4xMDZoLTIuNzl6bS0zLjU0NS0zLjY5N2gyLjIzMmwtMS4xMzEtMy4yNzMtMS4xMDEgMy4yNzN6bTYuODMgMi43ODhsMS4xMTYtMi4xMjFjLjU1OC41MyAxLjQwMyAxLjAzIDIuMzA4IDEuMDMuNTI4IDAgLjg0NS0uMTY3IDEuMDEtLjM0OWEuOTA2LjkwNiAwIDAwLjI1Ny0uNjM2Ljc5Ljc5IDAgMDAtLjI4Ni0uNjA2Yy0uMjU3LS4yMjctLjY0OS0uMzMzLTEuMjk4LS41M2wtLjY3OC0uMjEyYy0uNDIzLS4xMzctMS4wNDEtLjM2NC0xLjQ0OC0uODE4LS41MTMtLjU2MS0uNTc0LTEuMjczLS41NzQtMS43ODggMC0xLjI0My40ODMtMiAuOTItMi40NC41MTMtLjUxNSAxLjM1OC0uOTU0IDIuNTgtLjk1NC45OTUgMCAyLjE1Ny4zMTggMy4xMDcuODE4bC0xLjA0IDIuMDQ1Yy0uNzg1LS42Mi0xLjM3My0uNjgxLTEuNzItLjY4MS0uMjU3IDAtLjYwNC4wNi0uODYuMzAzLS4xNS4xNTEtLjI1Ni4zMTgtLjI1Ni41NDUgMCAuMTgyLjAzLjMxOC4xMzUuNDU1LjA3Ni4wOS4yNTcuMjcyLjg3NS40NTRsLjguMjQzYy42MzMuMTk3IDEuMjk3LjQyNCAxLjgyNSAxIC41MTIuNTQ1LjY0OCAxLjEwNi42NDggMS44MDIgMCAuOTI1LS4yMjYgMS44MTktLjk1IDIuNTQ2LS44Ni44NjMtMS45IDEuMDMtMi45NzEgMS4wMy0uNjM0IDAtMS4yMzctLjA2LTEuOTc2LS4zMzMtLjE2Ni0uMDYtLjgtLjMwMy0xLjUyNC0uODAzem0xNC43MzItNi45N0g2OC44NHY3Ljg3OWgtMi42MVYxOS4zNWgtMi4xNDJ2LTIuMjI3aDYuODk0djIuMjI3eiIgZmlsbD0iIzA5OTE1RCIgZmlsbC1ydWxlPSJldmVub2RkIi8+PC9zdmc+",FastScout roster page
UW-Whitewater Warhawks,24,RICHIE WARREN,F,6-6,SR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Richie Warren/1762762334689,FastScout roster page
UW-Whitewater Warhawks,25,TRISTIAN LYNCH,F,6-6,JR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Tristian Lynch/1762762335589,FastScout roster page
UW-Whitewater Warhawks,30,MATTHEW MCKAY,F,6-5,FR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Matthew McKay/1762762332462,FastScout roster page
UW-Whitewater Warhawks,32,LUKE BARA,G,6-1,SR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Luke Bara/1762762336107,FastScout roster page
UW-Whitewater Warhawks,33,TRENT GRUNEWALD,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Trent Grunewald/1762762332935,FastScout roster page
UW-Whitewater Warhawks,35,RASHAD ROGERS,F,6-7,FR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Rashad Rogers/1762762331887,FastScout roster page
UW-Whitewater Warhawks,40,TYSHAWN TEAGUE-JOHNSON,F,6-5,SO,https://download.fastmodeltechnologies.com/FSimages/players/default.png,FastScout roster page
Ripon Red Hawks,0,HOUSTON MCKENZIE,G,5-10,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Houston McKenzie/1762758259555,FastScout roster page
Ripon Red Hawks,1,ISAAC KNOLL,G,6-0,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Isaac Knoll/1762758263447,FastScout roster page
Ripon Red Hawks,2,CAEDEN HOLLY,G,5-10,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Caeden Holly/1762758268960,FastScout roster page
Ripon Red Hawks,3,SETH BUNDERS,G,6-0,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Seth Bunders/1762758262229,FastScout roster page
Ripon Red Hawks,4,JARTON DAVIS,G,6-1,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jarton Davis/1762758263080,FastScout roster page
Ripon Red Hawks,5,JAKE THOMSEN,G,6-2,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jake Thomsen/1762758266089,FastScout roster page
Ripon Red Hawks,10,LANDON LEE,G,5-10,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Landon Lee/1762758258746,FastScout roster page
Ripon Red Hawks,11,SAM LEONI,G,6-1,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Sam Leoni/1762758261332,FastScout roster page
Ripon Red Hawks,12,KOLBY WILLIAMS,F,6-7,SR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Kolby Williams/1762758261754,FastScout roster page
Ripon Red Hawks,13,CJ BROWN,G,6-3,SR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/CJ Brown/1762758266955,FastScout roster page
Ripon Red Hawks,14,JOEY DAUN,G,6-2,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Joey Daun/1762758265718,FastScout roster page
Ripon Red Hawks,15,JOSE GONZALES,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jose Gonzales/1762758263821,FastScout roster page
Ripon Red Hawks,20,ANTON KILDE,F,6-3,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Anton Kilde/1762758267358,FastScout roster page
Ripon Red Hawks,22,OLIN ZELLMER,G,6-0,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Olin Zellmer/1762758260093,FastScout roster page
Ripon Red Hawks,23,KEENAN RAHN,G,6-4,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Keenan Rahn/1762758260431,FastScout roster page
Ripon Red Hawks,24,FISHER MACKENZIE,G,6-3,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Fisher MacKenzie/1762758264218,FastScout roster page
Ripon Red Hawks,30,ABE DYKSTRA,G,6-4,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Abe Dykstra/1762758262646,FastScout roster page
Ripon Red Hawks,32,CHRISTIAN WILSON,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Christian Wilson/1762758267739,FastScout roster page
Ripon Red Hawks,33,JACKSON FLOWERS,F,6-6,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jackson Flowers/1762758264582,FastScout roster page
Ripon Red Hawks,34,NICK AHLQUIST,F,6-4,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Nick Ahlquist/1762758265320,FastScout roster page
Ripon Red Hawks,35,MICHAEL ASMAN,F,6-7,SO,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Michael Asman/1762758268568,FastScout roster page
Ripon Red Hawks,42,JACK FIELD,F,6-7,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jack Field/1762758269346,FastScout roster page
Ripon Red Hawks,43,JACK ELLICKSON,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Jack Ellickson/1762758260864,FastScout roster page
Ripon Red Hawks,44,MARSHAWN ROBINSON,G,6-3,JR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Marshawn Robinson/1762758259170,FastScout roster page
Ripon Red Hawks,55,BIRCH GUNJA,F,6-6,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Birch Gunja/1762758266599,FastScout roster page
Ripon Red Hawks,50,TUCKER HAYES,F,6-7,FR,https://stats-assets.fastmodelsports.com/images/personnel/Ripon/2025-2026/Tucker Hayes/1762758268119,FastScout roster page
St. Thomas (TX) Celts,0,NATHAN KONGOLO,G/F,6-4,SO,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Nathan Kongolo/1762760974265,FastScout roster page
St. Thomas (TX) Celts,1,COREY THOMPSON,G,6-2,JR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Corey Thompson/1773912040343,FastScout roster page
St. Thomas (TX) Celts,2,OMAR GAYLE,G,5-10,SO,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Omar Gayle/1762760976530,FastScout roster page
St. Thomas (TX) Celts,3,BRENNAN WEBB,G,6-1,FR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Brennan Webb/1762760973060,FastScout roster page
St. Thomas (TX) Celts,5,REYCE ALLEN,F,6-5,SR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Reyce Allen/1762760973786,FastScout roster page
St. Thomas (TX) Celts,10,ANGEL JOHNSON,G,6-2,SR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Angel Johnson/1762760973571,FastScout roster page
St. Thomas (TX) Celts,11,TAMARCUS BUTLER,G,6-3,SR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Tamarcus Butler/1762760971866,FastScout roster page
St. Thomas (TX) Celts,12,NICHOLAS BUFFALO,F,6-6,JR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Nicholas Buffalo/1762760976024,FastScout roster page
St. Thomas (TX) Celts,13,LEGBORSI MATO,G,6-5,FR,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Legborsi Mato/1762760972783,FastScout roster page
St. Thomas (TX) Celts,14,CHRIS GITONGA,F,6-4,SO,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Chris Gitonga/1762760976755,FastScout roster page
St. Thomas (TX) Celts,20,LUKE MARTINEZ,G,6-2,SO,https://stats-assets.fastmodelsports.com/images/personnel/St. Thomas (TX)/2025-2026/Luke Martinez/1762760975192,FastScout roster page
