opponent,category,topic,notes
St. Thomas (TX) Celts,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),13X
St. Thomas (TX) Celts,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Set (Flare slip on backside or Zoom on ball-side)
Eureka Red Devils,Game Plan Overview,KEYS TO VICTORY,1. EARLY GAP / HELP SIDE | 2. KEEP THE BALL IN FRONT (ACTIVE HANDS) | 3. OWN THE PAINT
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,Man to Man | Slide/Shoot Under A Lot of Off Ball Screens | Will Attempt Some No Middle Defense | Have Played Some 2-3 Zone - Mostly ELOB | Weak Box Outs - CRASH and EAT!
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,"Side to Side with Varying Actions | Own The Paint | Punch, Kentucky/Wildcat, Panthers | Snaps | Attack Angles! | Draw Defenders and Kick | Inside Out 3s"
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Jam / Stick to Screener | Over/Under Depends on Personnel/Location
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack Angles to the Basket
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Post Defender Get to HELP LINE | Extend / Deny Top to Top Pass | Stay Late / Talk Switches | Early Gaps on #12 | Extend Pinch Post Catches | Can Drop Back After Catch | Active Hands on Ball | Iverson | Second Screen Drop Back | 14x Switch - Flat Hedge Stop the Ball!
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,"Pinch Post / High Post | Rub Cuts, Scissor Cuts | Wing Ball Screens | Iverson | Different Personnel Will Flash to Pinch Post | Give and Go | Most ""Scoring Actions"" are ran for #12"
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Wing Ball Screen with #12
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14x Flat Hedge
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,
Aurora Spartans,Game Plan Overview,KEYS TO VICTORY,"1. GUARD YOUR YARD (+ Early Gap Help) | 2. WALL UP, DON'T FOUL | 3. ATTACK THE PAINT!!!"
Aurora Spartans,Game Plan Overview,TEAM STRENGTHS,1. Play making guards looking to attack the rim | 2. Great at drawing fouls/getting to FT line | 3. Press capable of turning teams over
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Physical screens (Find bodies & force switches) | RHINOS - SWIRLS - SLIPS - CHEETAHS - SNAPS | Rhinos & Slips vs Switches | Play off 2 Feet in Paint | Dump offs to the Big available | Stay out of corners vs Run & Jump Press | Keep ball in middle 1/3 of court | Allow off ball defenders to clear out before attacking | WIN FT BATTLE!!
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M | Most help comes from their big man at the rim | Off ball screens: Open up & go under | Switch any good screen 1-4. | Full court M2M press on makes or dead balls. | Hard deny on inbound. Run & Jump when available. | Post D-Play behind post with no/limited help
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,"Ball screens: Drop Coverage, guards goes under screener | Switch most ball screens 1-4 | Vs DHO: Open up & go under"
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack the Big vs Drop Coverage | Screen & rescreens available vs DHO's
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,M2M Run & Jump Press (Press 44% of possessions)
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,Aggressive in Transition!!! | Quick set plays followed by Dribble Drive Offense (Attack & kick) | Create big gaps | Look for shooters in the corners on drives | Multiple guards seek contact on finishes | Will also look for #22 in the post to finish possessions | Attack middle in Dribble Drive
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,"SPRINT BACK!!! | Communicate Early, Loud, & Often! | Early screen calls on initial set play | Anticipate drive & kick after set play | On the ball: Contain & Guard your Yard | Off the ball: Early gaps, be ready to rotate | Don't Foul! | Wall up with high hands on finishes | Prevent drives to the paint=less foul opportunities | ONE & DONE!!!"
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,High Flat ball screen | Empty ball screen
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),"14X-FH | Talk switches 1-4 early! | High/Early Tags | ""Flat"" Force handler LH. No rejects"
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),"13X | ""12"" (1-2-2 Press)"
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Sets-Looking for #22 in post Iso
Simpson Storm,Game Plan Overview,KEYS TO VICTORY,1. TAKE AWAY PERSONNEL TENDANCIES | 2. LIVE IN THE PAINT!!! | 3. DOMINATE THE GLASS
Simpson Storm,Game Plan Overview,TEAM STRENGTHS,1. 2 playmaking guards (#23 & #13) | 2. Motion offense with good ball movement/movement off ball | 3. Multiple guys that crash the glass hard
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,ATTACK them in Transition!! | Attack the paint | Drive to post!!! | Attack the big vs ball screens | Post opportunities available at multiple positions | Play off 2 Feet | Set Ball Screens & Handoffs LOW | Throwbacks to Post Entries -- LOOK IN!!! | EAT on the Offensive Glass!!!
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,"M2M | Heavy/Deep Gaps | Off ball= Stunt often but rarely help | Help at the rim, not in gaps | Struggle to Boxout | Struggle to defend drive to post | Limited/no help in post"
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Drop Coverage | Big 8-10 ft from rim | Guard usually goes under ball screen | DHO- Guard will go over or under DHO (scout dependent)
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Screen low vs Drop Coverage | Attack the big on drives
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,Run & Jump press when trailing late in game.
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,"Motion Offense (95% of possessions) | Great ball movement | Constant screening & cutting | Back cut | Iso's when ball is on wing & ball side is cleared out | Drive to Post | Struggle to execute offense with ball pressure | Set plays after timeouts, side out, & beginning of half | Crash the offensive glass hard from all positions"
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Communicate Early & Often | Communicate tag on ball screens | Disrupt offense with constant ball pressure | Trace! | Work for tips on all passes | Early gaps=Early recovery | No drives to the paint | Don't get spread out on the backside!
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-FH | Talk switches 1-4 Early! | No rejects
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Ball screens-Touch & Go and Ghost screens (80%+) | Side ball screens (guard attacking towards sideline) | DHO to Rescreen on wing | High side ball screens
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),"13X | ""12"" (1-2-2 Press)"
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Set (back screen for lay ups at rim)
Ripon Red Hawks,Game Plan Overview,TEAM STRENGTHS,Motion offense with good ball movement & cutting | Force TO's with active hands (Gaps!) | Heavy ball screen usage at multiple angles
Ripon Red Hawks,Game Plan Overview,KEYS TO VICTORY,1. DOMINATE THE GLASS | 2. ATTACK THE BASKET | 3. COMMUNICATION SCREENING ACTION!!!
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Gap Defense | Heavy Gap Help | Active with hands in gaps=steals | Give help deep around FT line or lower | Fight over & chase vs screens off the ball | Post Defense: 3/4 front. Dig off ball.
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Hunt for paint touches (SHOT FAKES!!) | Drive & kick 3's available vs Gap help | Don't drive through the help ( Kick it out! ) | Attack the Hard Hedge! | Post open on throwbacks | Physical cuts & screens | TWINS - SWIRLS - ZEBRAS - CHEETAHS
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Hard Hedge vs Ball Screens | Switch certain match ups | Chase & trail vs DHO's
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Roll man available vs HH | Attack in DHOs (Zebras & Cheetahs)
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,3-2 Zone (Used on 6% of possessions in 24-25)
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Transition Defense | SPRINT - TURN - TALK!! | Pressure & Trace = Deflections!! | No Baseline or Rejects | Keep vision of ball & man at all times | Weakside = Flood the Paint (don't hug your man)
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,Motion Offense (80% of time) | Heavy Ball Screen & DHO usage. | 3 Side Action. 1st guy coming usually cuts or curls | Constant movement & screening off the ball | Hunt for baseline drives & ball screen rejects | Utilize shot fakes most possessions | Set plays (20% of time) | Zoom Action from the Elbow | UCLA screen to Ball Screen
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Ball screens | Will set screens toward the middle and side line | Often start possessions with a drag ball screen | DHO to rescreen on the wing
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-FH | No Rejects! | Aggressive tag on roll man
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),May use 13X if they run two bigs together.
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box set (Main play DHO for inbounder)
Lawrence Vikings,Game Plan Overview,KEYS TO VICTORY,1. DRIVE DOWN 3PT ATTEMPTS!!! | 2. FINISH DEFENSIVE POSSESSIONS (LATE CLOCK) | 3. ATTACK THE PAINT
Lawrence Vikings,Game Plan Overview,TEAM STRENGTHS,1. High level 3 pt shooting (41.2% 3 pt) | 2. Pack & Protect the paint on Defense | 3. Rebound Hard (+6 Rebound advantage)
Lawrence Vikings,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Attack in Transition (RIM RUNS!!) | Attack the Paint | CUTTERS & Kick Outs 3's Available vs Post Doubles | Relocate & cut on post entry | Drive to Post | Screen lower/inside = physical cutting | COBRAS - ZEBRAS - 3 SIDE ACTION(S) - NOVA
Lawrence Vikings,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Gap | Deep gaps | Aggressive hands/swipe in gap | Trap the post off ball side wing | Trail most off ball screens vs shooters | Heavy help when ball gets in paint vs drives
Lawrence Vikings,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Drop Coverage- Guard go over/under scout dependent | Switch ball screens 1-4 | DHO = Guard fight over DHO 3 pt line or below
Lawrence Vikings,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Guards- Attack the Big vs Drop Coverage (to his body) | Bigs- Physical screens = 2 on 1 situations
Lawrence Vikings,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,1-2-2 press when trailing late in games (Press 6% of possessions)
Lawrence Vikings,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Lawrence Vikings,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,5 out offense | Heavy ball screen & DHO usage | Side ball screens most possessions | Back cuts on drives & post touches | Drive to Post | Multiple high level shooters with range | Struggle to finish over defenders in the paint
Lawrence Vikings,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Ball Pressure!!! | Disrupt offensive flow | Work for tips on the ball | Limit 3 point opportunities | Anticipate C & S 3's late in possessions | Talk Ball Screens (Early Loud Often) | Guards- Climb over screens = limited help off shooters | NO BACK CUTS vs. drives & post touches | Wall up & force tough finishes
Lawrence Vikings,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Side ball screens on wing to start possessions | DHO to Rescreens | Slips & Ghost screens
Lawrence Vikings,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-FH
Lawrence Vikings,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),15X
Lawrence Vikings,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Sets (3-4 main plays)
Carroll (WI) Pioneers,Game Plan Overview,KEYS TO VICTORY,1. TRANSITION DEFENSE!!! | 2. SQUEEZE & LIMIT #4 (Guard 1 on 1 + Gap Help) | 3. ATTACK THE PAINT OFFENSIVELY!!
Carroll (WI) Pioneers,Game Plan Overview,TEAM STRENGTHS,1. Fast paced offense (quick ball movement & cutting) | 2. Main scorer #4 capable of carrying offense (23 ppg) | 3. Push hard in transition
Carroll (WI) Pioneers,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,ATTACK IN TRANSITION!!! | ATTACK THE PAINT!!! | Drive & kick 3's available | Attack the Big in ball screens | Good ball screen = Forces 5 to Switch | Keep the ball in middle 1/3 of court vs press | ZEBRAS - TWIST - NOVA - PANTER(S)
Carroll (WI) Pioneers,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Defense | Full/Deep help in Gaps | Struggle to closeout & rotate after gap help | Trap post on a mismatch (#41 usually the trap guy) | Struggle to match up in transition | Full court 2 man press | Looking to push the ball up sideline & trap
Carroll (WI) Pioneers,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,FH- Will switch when guard is late to recover | DHO vs shooter-Guard chases over. Big FH | DHO vs Driver- Open & go through
Carroll (WI) Pioneers,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack the Big (which forces switches) | Reverse pivot throwbacks available
Carroll (WI) Pioneers,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,2 Man Press (want to push up sideline & trap)
Carroll (WI) Pioneers,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Carroll (WI) Pioneers,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,5 out Offense | Patterned to start | Guards attack downhill after initial action | Attack off DHO's & ball screens | Fast ball movement & hard back cuts | Push HARD in transition | #44 rim runs | main shooters hunt transition 3's | Get into offense quickly after initial push
Carroll (WI) Pioneers,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,TRANSITION DEFENSE!!! | Contain & turn the ball handler early | Locate Shooters | NO RIM RUNS from #41 or #44 | No Back cuts! | SQUEEZE #4 ON DRIVES | Guard your yard 1 on 1 | Early & Strong Gap Help | Limit #41's post touches | Do you work early | Do NOT recover behind | FINISH POSSESSIONS (BOX & SWARM)!!!
Carroll (WI) Pioneers,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,DHO's & ball screens after entry to 5 man in slot
Carroll (WI) Pioneers,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X- FH
Carroll (WI) Pioneers,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),15X | Red-Hot (post double off #44)
Carroll (WI) Pioneers,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,
Alma Scots,Game Plan Overview,KEYS TO VICTORY,1. CONTAIN #11 | 2. GREAT WALL UPS & LIMIT FOULS | 3. ATTACK MISMATCHES (after switches)
Alma Scots,Game Plan Overview,TEAM STRENGTHS,1. Attacking the rim & drawing fouls | 2. #11 capable of carrying offense | 3. Switch all screens 1-5
Alma Scots,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Force switches with great screens! | Multiple mismatches late in possessions | Hunt post mismatches | Attack the Paint!!! | Drive to post (especially after switches) | vs 2-3 Zone | High post touches = Look Basket then Opposite | Drives available after 3+ passes
Alma Scots,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M (72% possessions) | Switch all good screens on & off ball | Struggle to defend late in possessions with mismatches | Help at rim (not in gaps) | Llimited help on post ups (even after switches) | 2-3 Zone (28% possessions) | Use vs all ELOB
Alma Scots,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Switch ball screens 1-5 | Open up & guard goes through
Alma Scots,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack mismatches vs switches | DHO to rescreen
Alma Scots,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,Full Court M2M (9% of possessions)
Alma Scots,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Alma Scots,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,Set plays to start possessions | Post cross screens for #11 | Multiple sets with ball screens | Double High BS | UCLA to BS | High flat BS | Horns
Alma Scots,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,"Communicate! Early, Loud, & Often | Big's- Call out ball screens early | Guards- No ball screen rejects | Heavy gap help off non-shooters | Limit #11's Post Touches | Recover to 3/4 front after ball screens | Trace & pressure vs post entry"
Alma Scots,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Ball screen or DHO most possessions | Guards look to get downhill in ball screens
Alma Scots,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X FH
Alma Scots,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,
Alma Scots,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),15X
Elmhurst Bluejays,Game Plan Overview,KEYS TO VICTORY,1. COMMUNICATE SCREENS & ACTIONS | 2. DOMINATE THE PAINT | 3. GUARD 1 ON 1
Elmhurst Bluejays,Game Plan Overview,TEAM STRENGTHS,1. High level 3 pt shooting team (38% 3 pt) | 2. All starters with perimeter skills & shooting ability | 3. Physical & Aggressive on ball defensively
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Do not settle for quick shots early | DOMINATE IN THE PAINT!!! | Guards- Attack the Big's vs ball screens | Kick outs available vs post doubles & gap help | Get to the FT line & get them in foul trouble | Drive to post | Over Wraps - Fox Wraps - Rhinos - Zebras (to post entries)
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Defense | Active hands & physical on the ball | Help or show in Gaps | Physical fighting through screens | Take the clearest path to get through screens | Struggle to defend drive to post
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Ball screen Defense | Big quick show/hedge (stays attached to screener) | Guard takes clearest path over or under screen | DHO- Guard takes clearest path
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Bigs- Strong/physical ball screens | 2 on 1 situations available with great screens | Screen/rescreens available | Ball screen rejects available
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,5 out offense (usually starts with a set play) | 8-10 set plays they run consistently | 5 man is trigger to start offense at top of key | Most line ups have 5 guys on the floor that can shoot | Look to pop after most screens on & off ball | Pump fakes most possessions
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,"Prevent scramble situations | Switch ball screens when available | Anticipate pop after all screens | Great closeouts at all positions | Stay down on shot fakes | Trace & Pressure ball!! | Long shots = Long rebounds | ""12"" (1-2-2 press) | ""ICE"" = SPRINT to Shooters!!!"
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Bigs Pop after most ball screens | Guards looking to attack & throwback to screener | Ghost screens
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-HH | 15X
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,4 High Alignment (Main play similar to our '30' Inbound)
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),
Coe Kohawks,Game Plan Overview,KEYS TO VICTORY,1. ATTACK THE PAINT | 2. BALL SCREEN DEFENSE (DISRUPTIVE & CONNECTED) | 3. DOMINATE REBS & FTs
Coe Kohawks,Game Plan Overview,TEAM STRENGTHS,1. Play making guard capable of carrying offense (#5) | 2. Heavy ball screen usage at different angles | 3. Rebounding (11 O-Boards per game)
Coe Kohawks,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,ATTACK IN TRANSITION | Pushes in transition = mismatches | Physical Screening & Cutting | SNAPS - GETS - TWINS - OVERS - SWIRLS | Force switches with great screens! | Attack the mismatches (Post & Drive to Post available) | Empty Ball Screens = Backside Middle Cut or Screen | ATTACK THE OFFENSIVE GLASS!!!
Coe Kohawks,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M | Basket Line 1 pass away (stay between man & rim) | Help at rim. Rarely help in gaps. | Off ball screens = Fight over/Chase | Limited/no help in post
Coe Kohawks,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Vs Ball screens -1 step quick hedge or switch | Guard fights over screen | Vs DHO = Guards fight over/try to blow it up.
Coe Kohawks,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack downhill & read: | 1. Roll man | 2. Corners | Throwbacks + Post Entry available
Coe Kohawks,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,1-2-2 Press (20-30 total possessions this season)
Coe Kohawks,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Coe Kohawks,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,"5 out Read Based Offense | 5 man is the trigger at top of the key | Zooms- Flares, Curls, & Rejects | 3 Side Action- Double screen Zooms, Flares, & Slips | Set Plays (Heavy Ball Screen Usage) | High ball screens to start possessions at multiple angles | Big rolls & posts after most ball screens | Cross screens & back screens for #22 & #34 | High/Low set"
Coe Kohawks,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Disrupt their guards with heavy ball pressure | Trace the ball & work for tips | Force high skip passes & intercept | NO BACK CUTS!!! | Eliminate Cross Screens & High-Low entries | Ball Screen Defense: | Active hands = deflect passes | X Out's on the backside (Communicate & Sprint!) | Chest Punches to cutoff drives & Physical Wall-Ups!! | Hit & Hold - Keep them off the O-Glass
Coe Kohawks,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Ball Screens | High side ball screen | Empties | Ghost screens (usually #5 sets it) | DHO to Rescreens
Coe Kohawks,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),13X-FH
Coe Kohawks,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),14X or 15X
Coe Kohawks,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,
UW-River Falls Falcons,Game Plan Overview,KEYS TO VICTORY,1. PRESSURE ON THE BALL | 2. ATTACK THE PAINT!! | 3. RELENTLESS EFFORT & WINNING PLAYS !!
UW-River Falls Falcons,Game Plan Overview,TEAM STRENGTHS,1. Post Play/Scoring in the Paint | 2. Multiple sets/packages with Counters | 3. Pack the Paint Defensively
UW-River Falls Falcons,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Attack in Transition!!! | Use BOTH sides of the floor to start possessions | Multiple Actions/Paint Touches to get what we want | Aggressive Rises with Pace | Attack #25 in Ball Screens & in the Post | Physical ball screens | Get to 2 Feet in the Paint | Finish strong | Back cuts & kick outs on paint touches
UW-River Falls Falcons,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Pack Line | Focus on preventing points in the paint | Gap help 1 pass away | Heavy help off corners on ball screen tags | Off ball screens- Chase/Fight over screen (curls available) | Post D- Limited help (stunt on occasion)
UW-River Falls Falcons,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,"Vs Ballscreens- Scout based | Have shown: FH with trap, Drop, & Switching | Vs DHO's- Open up & go through"
UW-River Falls Falcons,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack the Big in ball screens | Read Corners/Risers v. Hard Tags
UW-River Falls Falcons,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,M2M Full Court Press (4% of possessions)
UW-River Falls Falcons,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
UW-River Falls Falcons,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,"Pushing in transition | Set plays to start possessions | NBA Pistol (3-4 options, starts on R Wing) | Horns sets (2 main sets) | High/Low (#25 low, #11 flashes to high post) | High ball screen + #11 duck in | Focus on getting the ball inside & scoring in paint | Skips to backside | Flare screens, back screens, & ball screens!"
