opponent,category,topic,notes
St. Thomas (TX) Celts,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),13X
St. Thomas (TX) Celts,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Set (Flare slip on backside or Zoom on ball-side)
Eureka Red Devils,Game Plan Overview,KEYS TO VICTORY,1. EARLY GAP / HELP SIDE | 2. KEEP THE BALL IN FRONT (ACTIVE HANDS) | 3. OWN THE PAINT
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,Man to Man | Slide/Shoot Under A Lot of Off Ball Screens | Will Attempt Some No Middle Defense | Have Played Some 2-3 Zone - Mostly ELOB | Weak Box Outs - CRASH and EAT!
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,"Side to Side with Varying Actions | Own The Paint | Punch, Kentucky/Wildcat, Panthers | Snaps | Attack Angles! | Draw Defenders and Kick | Inside Out 3s"
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Jam / Stick to Screener | Over/Under Depends on Personnel/Location
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack Angles to the Basket
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,
Eureka Red Devils,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Post Defender Get to HELP LINE | Extend / Deny Top to Top Pass | Stay Late / Talk Switches | Early Gaps on #12 | Extend Pinch Post Catches | Can Drop Back After Catch | Active Hands on Ball | Iverson | Second Screen Drop Back | 14x Switch - Flat Hedge Stop the Ball!
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,"Pinch Post / High Post | Rub Cuts, Scissor Cuts | Wing Ball Screens | Iverson | Different Personnel Will Flash to Pinch Post | Give and Go | Most ""Scoring Actions"" are ran for #12"
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Wing Ball Screen with #12
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14x Flat Hedge
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),
Eureka Red Devils,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,
Aurora Spartans,Game Plan Overview,KEYS TO VICTORY,"1. GUARD YOUR YARD (+ Early Gap Help) | 2. WALL UP, DON'T FOUL | 3. ATTACK THE PAINT!!!"
Aurora Spartans,Game Plan Overview,TEAM STRENGTHS,1. Play making guards looking to attack the rim | 2. Great at drawing fouls/getting to FT line | 3. Press capable of turning teams over
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Physical screens (Find bodies & force switches) | RHINOS - SWIRLS - SLIPS - CHEETAHS - SNAPS | Rhinos & Slips vs Switches | Play off 2 Feet in Paint | Dump offs to the Big available | Stay out of corners vs Run & Jump Press | Keep ball in middle 1/3 of court | Allow off ball defenders to clear out before attacking | WIN FT BATTLE!!
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M | Most help comes from their big man at the rim | Off ball screens: Open up & go under | Switch any good screen 1-4. | Full court M2M press on makes or dead balls. | Hard deny on inbound. Run & Jump when available. | Post D-Play behind post with no/limited help
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,"Ball screens: Drop Coverage, guards goes under screener | Switch most ball screens 1-4 | Vs DHO: Open up & go under"
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Attack the Big vs Drop Coverage | Screen & rescreens available vs DHO's
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,M2M Run & Jump Press (Press 44% of possessions)
Aurora Spartans,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,Aggressive in Transition!!! | Quick set plays followed by Dribble Drive Offense (Attack & kick) | Create big gaps | Look for shooters in the corners on drives | Multiple guards seek contact on finishes | Will also look for #22 in the post to finish possessions | Attack middle in Dribble Drive
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,"SPRINT BACK!!! | Communicate Early, Loud, & Often! | Early screen calls on initial set play | Anticipate drive & kick after set play | On the ball: Contain & Guard your Yard | Off the ball: Early gaps, be ready to rotate | Don't Foul! | Wall up with high hands on finishes | Prevent drives to the paint=less foul opportunities | ONE & DONE!!!"
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,High Flat ball screen | Empty ball screen
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),"14X-FH | Talk switches 1-4 early! | High/Early Tags | ""Flat"" Force handler LH. No rejects"
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),"13X | ""12"" (1-2-2 Press)"
Aurora Spartans,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Sets-Looking for #22 in post Iso
Simpson Storm,Game Plan Overview,KEYS TO VICTORY,1. TAKE AWAY PERSONNEL TENDANCIES | 2. LIVE IN THE PAINT!!! | 3. DOMINATE THE GLASS
Simpson Storm,Game Plan Overview,TEAM STRENGTHS,1. 2 playmaking guards (#23 & #13) | 2. Motion offense with good ball movement/movement off ball | 3. Multiple guys that crash the glass hard
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,ATTACK them in Transition!! | Attack the paint | Drive to post!!! | Attack the big vs ball screens | Post opportunities available at multiple positions | Play off 2 Feet | Set Ball Screens & Handoffs LOW | Throwbacks to Post Entries -- LOOK IN!!! | EAT on the Offensive Glass!!!
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,"M2M | Heavy/Deep Gaps | Off ball= Stunt often but rarely help | Help at the rim, not in gaps | Struggle to Boxout | Struggle to defend drive to post | Limited/no help in post"
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Drop Coverage | Big 8-10 ft from rim | Guard usually goes under ball screen | DHO- Guard will go over or under DHO (scout dependent)
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Screen low vs Drop Coverage | Attack the big on drives
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,Run & Jump press when trailing late in game.
Simpson Storm,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,"Motion Offense (95% of possessions) | Great ball movement | Constant screening & cutting | Back cut | Iso's when ball is on wing & ball side is cleared out | Drive to Post | Struggle to execute offense with ball pressure | Set plays after timeouts, side out, & beginning of half | Crash the offensive glass hard from all positions"
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Communicate Early & Often | Communicate tag on ball screens | Disrupt offense with constant ball pressure | Trace! | Work for tips on all passes | Early gaps=Early recovery | No drives to the paint | Don't get spread out on the backside!
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-FH | Talk switches 1-4 Early! | No rejects
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Ball screens-Touch & Go and Ghost screens (80%+) | Side ball screens (guard attacking towards sideline) | DHO to Rescreen on wing | High side ball screens
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),"13X | ""12"" (1-2-2 Press)"
Simpson Storm,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box Set (back screen for lay ups at rim)
Ripon Red Hawks,Game Plan Overview,TEAM STRENGTHS,Motion offense with good ball movement & cutting | Force TO's with active hands (Gaps!) | Heavy ball screen usage at multiple angles
Ripon Red Hawks,Game Plan Overview,KEYS TO VICTORY,1. DOMINATE THE GLASS | 2. ATTACK THE BASKET | 3. COMMUNICATION SCREENING ACTION!!!
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Gap Defense | Heavy Gap Help | Active with hands in gaps=steals | Give help deep around FT line or lower | Fight over & chase vs screens off the ball | Post Defense: 3/4 front. Dig off ball.
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Hunt for paint touches (SHOT FAKES!!) | Drive & kick 3's available vs Gap help | Don't drive through the help ( Kick it out! ) | Attack the Hard Hedge! | Post open on throwbacks | Physical cuts & screens | TWINS - SWIRLS - ZEBRAS - CHEETAHS
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Hard Hedge vs Ball Screens | Switch certain match ups | Chase & trail vs DHO's
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Roll man available vs HH | Attack in DHOs (Zebras & Cheetahs)
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,3-2 Zone (Used on 6% of possessions in 24-25)
Ripon Red Hawks,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,Transition Defense | SPRINT - TURN - TALK!! | Pressure & Trace = Deflections!! | No Baseline or Rejects | Keep vision of ball & man at all times | Weakside = Flood the Paint (don't hug your man)
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,Motion Offense (80% of time) | Heavy Ball Screen & DHO usage. | 3 Side Action. 1st guy coming usually cuts or curls | Constant movement & screening off the ball | Hunt for baseline drives & ball screen rejects | Utilize shot fakes most possessions | Set plays (20% of time) | Zoom Action from the Elbow | UCLA screen to Ball Screen
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Ball screens | Will set screens toward the middle and side line | Often start possessions with a drag ball screen | DHO to rescreen on the wing
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-FH | No Rejects! | Aggressive tag on roll man
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),May use 13X if they run two bigs together.
Ripon Red Hawks,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,Box set (Main play DHO for inbounder)
Elmhurst Bluejays,Game Plan Overview,KEYS TO VICTORY,1. COMMUNICATE SCREENS & ACTIONS | 2. DOMINATE THE PAINT | 3. GUARD 1 ON 1
Elmhurst Bluejays,Game Plan Overview,TEAM STRENGTHS,1. High level 3 pt shooting team (38% 3 pt) | 2. All starters with perimeter skills & shooting ability | 3. Physical & Aggressive on ball defensively
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Attacking their man defense,Do not settle for quick shots early | DOMINATE IN THE PAINT!!! | Guards- Attack the Big's vs ball screens | Kick outs available vs post doubles & gap help | Get to the FT line & get them in foul trouble | Drive to post | Over Wraps - Fox Wraps - Rhinos - Zebras (to post entries)
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Overall Defensive Scheme,M2M Defense | Active hands & physical on the ball | Help or show in Gaps | Physical fighting through screens | Take the clearest path to get through screens | Struggle to defend drive to post
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Ball Screen & DHO Defense,Ball screen Defense | Big quick show/hedge (stays attached to screener) | Guard takes clearest path over or under screen | DHO- Guard takes clearest path
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Ball Screen Actions & Reads,Bigs- Strong/physical ball screens | 2 on 1 situations available with great screens | Screen/rescreens available | Ball screen rejects available
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Speciality Defensive Notes,
Elmhurst Bluejays,Offensive Game Plan (vs. Opponent Defense),Potential Adjustments (Defense),
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Overall OFFENSIVE SCHEME,5 out offense (usually starts with a set play) | 8-10 set plays they run consistently | 5 man is trigger to start offense at top of key | Most line ups have 5 guys on the floor that can shoot | Look to pop after most screens on & off ball | Pump fakes most possessions
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Defending Their Action,"Prevent scramble situations | Switch ball screens when available | Anticipate pop after all screens | Great closeouts at all positions | Stay down on shot fakes | Trace & Pressure ball!! | Long shots = Long rebounds | ""12"" (1-2-2 press) | ""ICE"" = SPRINT to Shooters!!!"
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Ball Screen Actions & Personnel,Bigs Pop after most ball screens | Guards looking to attack & throwback to screener | Ghost screens
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Ball Screen Coverage(s),14X-HH | 15X
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),ELOB & SLOB,4 High Alignment (Main play similar to our '30' Inbound)
Elmhurst Bluejays,Defensive Game Plan (vs. Opponent Offense),Potential Adjustments (Offense),
